Name,Time-FD,Corr-FD,Sys-FD,Planner-FD
blocksworld_problem_10_118__0,2313.8599395751958,1.0,2,1
blocksworld_problem_10_119__0,2498.1188774108887,1.0,2,1
blocksworld_problem_10_91__0,2362.015008926392,1.0,2,1
blocksworld_problem_10_92__0,3178.382396697998,1.0,2,1
blocksworld_problem_10_93__0,2527.6777744293213,1.0,2,1
blocksworld_problem_10_94__0,2630.866765975952,1.0,2,1
blocksworld_problem_10_95__0,2458.075523376465,1.0,2,1
blocksworld_problem_10_96__0,5386.27552986145,1.0,2,1
blocksworld_problem_10_97__0,7036.528587341309,1.0,2,1
blocksworld_problem_10_98__0,4007.014036178589,1.0,2,1
blocksworld_problem_10_99__0,2396.3751792907715,1.0,2,1
blocksworld_problem_12_10__0,3919.260501861572,1.0,2,1
blocksworld_problem_12_11__0,9337.546586990356,1.0,2,1
blocksworld_problem_12_13__0,2692.4850940704346,1.0,2,1
blocksworld_problem_12_14__0,6850.027561187744,1.0,2,1
blocksworld_problem_12_18__0,3432.2078227996826,1.0,2,1
blocksworld_problem_12_19__0,12436.345100402832,1.0,2,1
blocksworld_problem_12_1__0,2326.8022537231445,1.0,2,1
blocksworld_problem_12_21__0,2437.5154972076416,1.0,2,1
blocksworld_problem_12_22__0,2530.261516571045,1.0,2,1
blocksworld_problem_12_24__0,23903.468370437626,1.0,2,1
blocksworld_problem_12_26__0,19289.29305076599,1.0,2,1
blocksworld_problem_12_27__0,10676.071643829346,1.0,2,1
blocksworld_problem_12_28__0,29577.547073364258,1.0,2,1
blocksworld_problem_12_29__0,13274.799108505247,1.0,2,1
blocksworld_problem_12_2__0,6769.678592681885,1.0,2,1
blocksworld_problem_12_30__0,8096.662044525146,1.0,2,1
blocksworld_problem_12_31__0,8157.631158828735,1.0,2,1
blocksworld_problem_12_33__0,51049.95560646057,1.0,2,1
blocksworld_problem_12_35__0,56233.74819755554,1.0,2,1
blocksworld_problem_12_36__0,2653.1786918640137,1.0,2,1
blocksworld_problem_12_37__0,2727.913379669189,1.0,2,1
blocksworld_problem_12_39__0,2608.513832092285,1.0,2,1
blocksworld_problem_12_3__0,15387.563943862917,1.0,2,1
blocksworld_problem_12_40__0,6197.700023651123,1.0,2,1
blocksworld_problem_12_41__0,27347.999572753903,1.0,2,1
blocksworld_problem_12_44__0,6244.510173797607,1.0,2,1
blocksworld_problem_12_45__0,60848.04391860962,1.0,2,1
blocksworld_problem_12_46__0,4232.651710510254,1.0,2,1
blocksworld_problem_12_49__0,56891.43466949463,1.0,2,1
blocksworld_problem_12_4__0,21730.85308074951,1.0,2,1
blocksworld_problem_12_50__0,3752.9101371765137,1.0,2,1
