Name,Time-SOFAI-PF-FD,Corr-SOFAI-PF-FD,Sys-SOFAI-PF-FD,Planner-SOFAI-PF-FD
ferry_ferry-l6-c6__19,7363.969326019287,1.0,2,1
ferry_ferry-l6-c6__2,7175.498008728027,1.0,2,1
ferry_ferry-l6-c6__20,6897.44234085083,1.0,2,1
ferry_ferry-l6-c6__21,7450.412034988403,1.0,2,1
ferry_ferry-l6-c6__22,6462.6970291137695,1.0,2,1
ferry_ferry-l6-c6__23,8462.276220321655,1.0,2,1
ferry_ferry-l6-c6__24,6442.032814025879,1.0,2,1
ferry_ferry-l6-c6__25,6971.101999282837,1.0,2,1
ferry_ferry-l6-c6__26,8091.431379318237,1.0,2,1
ferry_ferry-l6-c6__27,6721.776008605957,1.0,2,1
ferry_ferry-l6-c6__28,6666.59140586853,1.0,2,1
ferry_ferry-l6-c6__29,9472.170352935793,1.0,2,1
ferry_ferry-l6-c6__3,6740.863561630249,1.0,2,1
ferry_ferry-l6-c6__30,7619.80676651001,1.0,2,1
ferry_ferry-l6-c6__31,7697.977542877197,1.0,2,1
ferry_ferry-l6-c6__32,7243.685960769653,1.0,2,1
ferry_ferry-l6-c6__33,9662.670373916626,1.0,2,1
ferry_ferry-l6-c6__34,6598.581552505493,1.0,2,1
ferry_ferry-l6-c6__35,7699.552774429321,1.0,2,1
ferry_ferry-l6-c6__36,7506.30784034729,1.0,2,1
ferry_ferry-l6-c6__37,9878.81875038147,1.0,2,1
ferry_ferry-l6-c6__38,9471.807956695557,1.0,2,1
ferry_ferry-l6-c6__39,7871.433734893799,1.0,2,1
ferry_ferry-l6-c6__4,7862.185955047607,1.0,2,1
ferry_ferry-l6-c6__40,8809.691190719604,1.0,2,1
ferry_ferry-l6-c6__41,11734.121322631836,1.0,2,1
ferry_ferry-l6-c6__42,11514.12796974182,1.0,2,1
ferry_ferry-l6-c6__43,7202.968120574951,1.0,2,1
ferry_ferry-l6-c6__44,9360.355615615845,1.0,2,1
