Name,Time-SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
gripper-strips_problem_4_6_7_171__0,5334.488391876221,1.0,2,3.0
gripper-strips_problem_4_6_7_172__0,6201.198101043701,1.0,2,3.0
gripper-strips_problem_4_6_7_173__0,6459.400177001953,1.0,2,3.0
gripper-strips_problem_4_6_7_174__0,6123.093605041504,1.0,2,3.0
gripper-strips_problem_4_6_7_175__0,5572.136640548706,1.0,2,3.0
gripper-strips_problem_4_6_7_176__0,5307.170629501343,1.0,2,3.0
gripper-strips_problem_4_6_7_177__0,6338.660478591919,1.0,2,3.0
gripper-strips_problem_4_6_7_178__0,5826.405763626099,1.0,2,3.0
gripper-strips_problem_4_6_7_179__0,5930.218458175659,1.0,2,3.0
gripper-strips_problem_4_6_7_180__0,5672.499656677246,1.0,2,3.0
gripper-strips_problem_4_6_7_181__0,5213.378190994263,1.0,2,3.0
gripper-strips_problem_4_6_7_182__0,5767.89665222168,1.0,2,3.0
gripper-strips_problem_4_6_7_183__0,6084.215879440308,1.0,2,3.0
gripper-strips_problem_4_6_7_184__0,6351.132392883301,1.0,2,3.0
gripper-strips_problem_4_6_7_185__0,5933.592796325684,1.0,2,3.0
gripper-strips_problem_4_6_7_186__0,5459.329128265381,1.0,2,3.0
gripper-strips_problem_4_6_7_187__0,5805.708885192871,1.0,2,3.0
gripper-strips_problem_4_6_7_188__0,5868.709802627564,1.0,2,3.0
gripper-strips_problem_4_6_7_189__0,6195.922613143921,1.0,2,3.0
gripper-strips_problem_4_6_7_190__0,6177.213907241821,1.0,2,3.0
gripper-strips_problem_4_6_7_191__0,5980.54838180542,1.0,2,3.0
gripper-strips_problem_4_6_7_192__0,6136.134624481201,1.0,2,3.0
gripper-strips_problem_4_6_7_193__0,5877.694606781006,1.0,2,3.0
gripper-strips_problem_4_6_7_194__0,6003.302812576294,1.0,2,3.0
gripper-strips_problem_4_6_7_195__0,5461.0230922698975,1.0,2,3.0
gripper-strips_problem_4_6_7_196__0,5771.728992462158,1.0,2,3.0
gripper-strips_problem_4_6_7_197__0,6158.165216445923,1.0,2,3.0
gripper-strips_problem_4_6_7_198__0,5570.646524429321,1.0,2,3.0
gripper-strips_problem_4_6_7_199__0,5864.568948745728,1.0,2,3.0
gripper-strips_problem_4_6_7_200__0,5051.741123199463,1.0,2,3.0
gripper-strips_problem_5_7_9_10__0,5903.739452362061,1.0,2,3.0
gripper-strips_problem_5_7_9_11__0,5808.7029457092285,1.0,2,3.0
gripper-strips_problem_5_7_9_12__0,5563.652992248535,1.0,2,3.0
gripper-strips_problem_5_7_9_13__0,6512.5412940979,1.0,2,3.0
gripper-strips_problem_5_7_9_14__0,5293.658256530762,1.0,2,3.0
gripper-strips_problem_5_7_9_15__0,5931.032657623291,1.0,2,3.0
gripper-strips_problem_5_7_9_16__0,5719.916105270386,1.0,2,3.0
gripper-strips_problem_5_7_9_17__0,5890.221834182739,1.0,2,3.0
