Name,FD,Corr-FD,Sys-FD,Planner-FD,SOFAI-PF-FD,Corr-SOFAI-PF-FD,Sys-SOFAI-PF-FD,Planner-SOFAI-PF-FD,SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
zBW_problem_6_110__0,2425.563097,1,2,1,7011.084795,1,2,1,8839.822054,1,2,3
zBW_problem_6_172__0,2426.661015,1,2,1,6260.98609,1,2,1,10490.22532,1,2,3
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__3,2427.818537,1,2,1,,,,,5396.121502,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__0,2428.80702,1,2,1,9193.048716,1,2,1,5536.284685,1,2,3
ferry-l6-c6__89,2430.809259,1,2,1,6004.374504,1,1,,5817.171097,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__37,2431.370497,1,2,1,,,,,5509.611368,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__30,2431.372643,1,2,1,,,,,5808.857441,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__33,2431.647778,1,2,1,,,,,5680.623531,1,1,
ferry-l6-c6__59,2434.49688,1,2,1,5512.855768,1,1,,5954.885006,1,1,
ferry-l6-c6__35,2435.919523,1,2,1,5177.680254,1,1,,5848.799944,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__35,2436.219692,1,2,1,,,,,5591.420174,1,1,
zBW_problem_12_21__0,2437.515497,1,2,1,8025.551319,1,2,1,5545.082331,1,2,3
zBW_problem_6_140__0,2438.392878,1,2,1,5890.080452,1,2,1,7940.26494,1,2,3
zBW_problem_6_145__0,2438.609362,1,2,1,8932.123899,1,2,1,8936.54108,1,2,1
zBW_problem_6_176__0,2441.782236,1,2,1,6604.076385,1,2,1,8753.51119,1,2,3
zBW_problem_6_108__0,2443.400621,1,2,1,6679.955006,1,2,1,6570.869684,0,-1,-1
ferry-l6-c6__29,2443.602324,1,2,1,5270.46752,1,1,,5645.734072,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__43,2445.37735,1,2,1,,,,,5440.025091,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__41,2447.98851,1,2,1,,,,,5465.442657,1,1,
zBW_problem_6_177__0,2448.621511,1,2,1,6230.970621,1,2,1,5457.107067,1,2,3
ferry-l6-c6__37,2449.395895,1,2,1,5758.279562,1,1,,5534.988642,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__40,2453.934669,1,2,1,,,,,5269.305229,1,1,
ferry-l6-c6__92,2455.072165,1,2,1,5601.674318,1,1,,5719.835758,1,1,
