Problem-JAC,Jaccard,Correctness-JAC,Sys-JAC,Problem-PF,SOFAIxPlansformers,Correctness-PF,Sys-PF,Problem-MIX,SOFAIxPlanning,Correctness-MIX,Sys-MIX,Problem-FD,Fast Downward,Correctness-FD,Sys-FD
problem_11_0098,31.25,1,2,problem_11_0098,18654.66022,0.9375,1,problem_11_0099,32028.69987,1,2,problem_11_0098,31.25,1,2
problem_11_0099,9734.38,1,2,problem_11_0099,23612.25271,0.923076923,1,problem_11_0100,22469.90895,1,1,problem_11_0099,9437.5,1,2
problem_11_0100,10734.4,1,2,problem_11_0100,23501.72234,1,1,problem_12_0001,49128.50472,1,2,problem_11_0100,11734.4,1,2
problem_12_0001,23578.1,1,2,problem_12_0001,28658.43368,0.923076923,1,problem_12_0002,55000,0.769230769,1,problem_12_0001,23171.9,1,2
problem_12_0002,60000,0,-1,problem_12_0002,28014.98532,0.692307692,1,problem_12_0003,52234.02664,1,2,problem_12_0002,60000,0,-1
problem_12_0003,26531.2,1,2,problem_12_0003,27058.67481,0.857142857,1,problem_12_0004,55000,0.857142857,1,problem_12_0003,25859.4,1,2
problem_12_0004,60000,0,-1,problem_12_0004,25829.22173,0.857142857,1,problem_12_0005,31379.28534,1,2,problem_12_0004,60000,0,-1
problem_12_0005,6843.75,1,2,problem_12_0005,26306.39887,0.857142857,1,problem_12_0006,24074.51057,1,1,problem_12_0005,6718.75,1,2
problem_12_0006,562.5,1,2,problem_12_0006,25085.93535,1,1,problem_12_0007,25506.54291,1,2,problem_12_0006,562.5,1,2
problem_12_0007,1109.38,1,2,problem_12_0007,1140.62,1,2,problem_12_0008,55000,0.928571429,1,problem_12_0007,1109.38,1,2
problem_12_0008,60000,0,-1,problem_12_0008,26840.78193,0.857142857,1,problem_12_0009,28162.9715,1,1,problem_12_0008,60000,0,-1
problem_12_0009,60000,0,-1,problem_12_0009,60000,0,-1,problem_12_0010,20174.08777,1,2,problem_12_0009,60000,0,-1
problem_12_0010,1015.62,1,2,problem_12_0010,27629.68445,0.933333333,1,problem_12_0011,60000,0,-1,problem_12_0010,1015.62,1,2
problem_12_0011,60000,0,-1,problem_12_0011,60000,0,-1,problem_12_0012,24903.29456,1,2,problem_12_0011,60000,0,-1
problem_12_0012,203.125,1,2,problem_12_0012,25113.81555,0.857142857,1,problem_12_0013,16453.1,1,2,problem_12_0012,203.125,1,2
problem_12_0013,16187.5,1,2,problem_12_0013,16140.6,1,2,problem_12_0014,32130.16367,1,2,problem_12_0013,15578.1,1,2
problem_12_0014,9843.75,1,2,problem_12_0014,21106.57287,0.866666667,1,problem_12_0015,23384.81545,1,2,problem_12_0014,9375,1,2
problem_12_0015,125,1,2,problem_12_0015,23639.75978,0.933333333,1,problem_12_0016,60000,0,-1,problem_12_0015,109.375,1,2
problem_12_0016,45734.4,1,2,problem_12_0016,22202.81506,1,1,problem_12_0017,29933.08567,1,2,problem_12_0016,43921.9,1,2
problem_12_0017,1343.75,1,2,problem_12_0017,28043.45441,0.857142857,1,problem_12_0018,55000,0.714285714,1,problem_12_0017,1296.88,1,2
problem_12_0018,60000,0,-1,problem_12_0018,24171.24796,0.857142857,1,problem_12_0019,55000,0.692307692,1,problem_12_0018,60000,0,-1
problem_12_0019,60000,0,-1,problem_12_0019,28298.76709,0.769230769,1,problem_12_0020,59948.00966,1,2,problem_12_0019,60000,0,-1
problem_12_0020,39843.8,1,2,problem_12_0020,21334.75161,0.846153846,1,problem_12_0021,25323.89045,1,2,problem_12_0020,38968.8,1,2
problem_12_0021,1843.75,1,2,problem_12_0021,22554.76117,0.8125,1,problem_12_0022,55000,0.769230769,1,problem_12_0021,1750,1,2
problem_12_0022,60000,0,-1,problem_12_0022,23829.56004,0.692307692,1,problem_12_0023,57002.03936,1,2,problem_12_0022,60000,0,-1
problem_12_0023,32781.2,1,2,problem_12_0023,25546.62848,0.857142857,1,problem_12_0024,55000,0.785714286,1,problem_12_0023,31718.8,1,2
problem_12_0024,60000,0,-1,problem_12_0024,27329.94509,0.857142857,1,problem_12_0025,28467.3326,1,2,problem_12_0024,60000,0,-1
problem_12_0025,4031.25,1,2,problem_12_0025,24636.73234,0.866666667,1,problem_12_0026,25692.16657,1,2,problem_12_0025,3968.75,1,2
problem_12_0026,1312.5,1,2,problem_12_0026,23629.38428,0.928571429,1,problem_12_0027,26358.53433,1,2,problem_12_0026,1328.12,1,2
problem_12_0027,1687.5,1,2,problem_12_0027,1687.5,1,2,problem_12_0028,24975.22998,1,2,problem_12_0027,1609.38,1,2
problem_12_0028,2031.25,1,2,problem_12_0028,2062.5,1,2,problem_12_0029,55000,0.769230769,1,problem_12_0028,1937.5,1,2
problem_12_0029,60000,0,-1,problem_12_0029,60000,0,-1,problem_12_0030,21264.03022,1,1,problem_12_0029,60000,0,-1
problem_12_0030,375,1,2,problem_12_0030,21220.38674,1,1,problem_12_0031,55000,0.928571429,1,problem_12_0030,359.375,1,2
problem_12_0031,60000,0,-1,problem_12_0031,23677.4497,0.928571429,1,problem_12_0032,26687.5,1,2,problem_12_0031,60000,0,-1
problem_12_0032,26734.4,1,2,problem_12_0032,26750,1,2,problem_12_0033,60000,0,-1,problem_12_0032,26140.6,1,2
problem_12_0033,12.2127533,0.5,1,problem_12_0033,60000,0,-1,problem_12_0034,22494.48681,1,2,problem_12_0033,60000,0,-1
problem_12_0034,296.875,1,2,problem_12_0034,20818.79044,1,1,problem_12_0035,60000,0,-1,problem_12_0034,281.25,1,2
problem_12_0035,60000,0,-1,problem_12_0035,26098.45161,0.769230769,1,problem_12_0036,29628.92723,1,2,problem_12_0035,60000,0,-1
problem_12_0036,6906.25,1,2,problem_12_0036,22123.57736,0.785714286,1,problem_12_0037,60000,0,-1,problem_12_0036,6812.5,1,2
problem_12_0037,44484.4,1,2,problem_12_0037,44406.2,1,2,problem_12_0038,26730.30329,1,2,problem_12_0037,43265.6,1,2
problem_12_0038,3578.12,1,2,problem_12_0038,25820.64891,1,1,problem_12_0039,28718.17565,1,2,problem_12_0038,3531.25,1,2
problem_12_0039,1437.5,1,2,problem_12_0039,1500,1,2,problem_12_0040,17335.45041,1,2,problem_12_0039,1375,1,2
problem_12_0040,156.25,1,2,problem_12_0040,17306.6299,0.733333333,1,problem_12_0041,4406.25,1,2,problem_12_0040,156.25,1,2
problem_12_0041,4375,1,2,problem_12_0041,26413.07545,0.714285714,1,problem_12_0042,19388.47923,1,2,problem_12_0041,4312.5,1,2
problem_12_0042,31.25,1,2,problem_12_0042,31.25,1,2,problem_12_0043,19202.88658,1,2,problem_12_0042,31.25,1,2
problem_12_0043,218.75,1,2,problem_12_0043,18447.3536,0.866666667,1,problem_12_0044,55000,0.866666667,1,problem_12_0043,203.125,1,2
problem_12_0044,60000,0,-1,problem_12_0044,23275.141,0.933333333,1,problem_12_0045,26227.18811,1,1,problem_12_0044,60000,0,-1
problem_12_0045,60000,0,-1,problem_12_0045,28274.41764,1,1,problem_12_0046,27774.61623,1,2,problem_12_0045,60000,0,-1
problem_12_0046,8953.12,1,2,problem_12_0046,22338.5253,0.875,1,problem_12_0047,33841.24752,1,2,problem_12_0046,8734.38,1,2
problem_12_0047,10750,1,2,problem_12_0047,10765.6,1,2,problem_12_0048,60000,0,-1,problem_12_0047,10421.9,1,2
problem_12_0048,60000,0,-1,problem_12_0048,28827.55232,0.769230769,1,problem_12_0049,60000,0,-1,problem_12_0048,60000,0,-1
problem_12_0049,57500,1,2,problem_12_0049,57203.1,1,2,problem_12_0050,26240.96107,1,2,problem_12_0049,54812.5,1,2
problem_12_0050,843.75,1,2,problem_12_0050,28391.05773,0.769230769,1,problem_12_0051,19552.07253,1,2,problem_12_0050,859.375,1,2
problem_12_0051,234.375,1,2,problem_12_0051,20497.88451,0.933333333,1,problem_12_0052,28320.3938,1,2,problem_12_0051,265.625,1,2
problem_12_0052,2906.25,1,2,problem_12_0052,26294.27624,0.866666667,1,problem_12_0053,60000,0,-1,problem_12_0052,2843.75,1,2
problem_12_0053,60000,0,-1,problem_12_0053,60000,0,-1,problem_12_0054,38316.7319,1,2,problem_12_0053,60000,0,-1
problem_12_0054,17687.5,1,2,problem_12_0054,22247.47992,0.769230769,1,problem_12_0055,60000,0,-1,problem_12_0054,17046.9,1,2
problem_12_0055,60000,0,-1,problem_12_0055,60000,0,-1,problem_12_0056,32174.99591,1,2,problem_12_0055,60000,0,-1
problem_12_0056,7937.5,1,2,problem_12_0056,26074.16797,0.8,1,problem_12_0057,55000,0.846153846,1,problem_12_0056,7828.12,1,2
problem_12_0057,60000,0,-1,problem_12_0057,24983.3672,1,1,problem_12_0058,17830.02138,1,2,problem_12_0057,60000,0,-1
problem_12_0058,31.25,1,2,problem_12_0058,18769.15407,0.882352941,1,problem_12_0059,22437.23798,1,1,problem_12_0058,15.625,1,2
problem_12_0059,750,1,2,problem_12_0059,23513.92508,1,1,problem_12_0060,21704.0596,1,2,problem_12_0059,703.125,1,2
problem_12_0060,1109.38,1,2,problem_12_0060,21461.69925,0.8125,1,problem_12_0061,58546.78794,1,2,problem_12_0060,1093.75,1,2
problem_12_0061,31437.5,1,2,problem_12_0061,28570.48321,0.857142857,1,problem_12_0062,45904.83141,1,2,problem_12_0061,31296.9,1,2
problem_12_0062,24921.9,1,2,problem_12_0062,22418.0963,0.733333333,1,problem_12_0063,21821.38777,1,2,problem_12_0062,24500,1,2
problem_12_0063,1203.12,1,2,problem_12_0063,21389.08434,0.857142857,1,problem_12_0064,60000,0,-1,problem_12_0063,1218.75,1,2
problem_12_0064,52421.9,1,2,problem_12_0064,25819.59701,0.928571429,1,problem_12_0065,34847.47434,1,2,problem_12_0064,51843.8,1,2
problem_12_0065,8593.75,1,2,problem_12_0065,28044.69109,0.692307692,1,problem_12_0066,16344.4345,1,2,problem_12_0065,8187.5,1,2
problem_12_0066,156.25,1,2,problem_12_0066,16175.95148,0.941176471,1,problem_12_0067,55000,0.875,1,problem_12_0066,156.25,1,2
problem_12_0067,60000,0,-1,problem_12_0067,22606.51708,0.875,1,problem_12_0068,55000,0.857142857,1,problem_12_0067,60000,0,-1
problem_12_0068,60000,0,-1,problem_12_0068,29011.7023,0.857142857,1,problem_12_0069,56708.15819,1,2,problem_12_0068,60000,0,-1
problem_12_0069,33890.6,1,2,problem_12_0069,23336.11202,0.785714286,1,problem_12_0070,23140.83909,1,2,problem_12_0069,34093.8,1,2
problem_12_0070,2640.62,1,2,problem_12_0070,21035.61378,0.785714286,1,problem_12_0071,23960.97206,1,2,problem_12_0070,2609.38,1,2
problem_12_0071,1234.38,1,2,problem_12_0071,22671.24271,0.733333333,1,problem_12_0072,21890.6,1,2,problem_12_0071,1296.88,1,2
problem_12_0072,21687.5,1,2,problem_12_0072,21750,1,2,problem_12_0073,23321.01035,1,2,problem_12_0072,20796.9,1,2
problem_12_0073,1875,1,2,problem_12_0073,23585.13808,0.928571429,1,problem_12_0074,43816.24096,1,2,problem_12_0073,1843.75,1,2
problem_12_0074,17921.9,1,2,problem_12_0074,24116.49299,0.857142857,1,problem_12_0075,60000,0,-1,problem_12_0074,17343.8,1,2
problem_12_0075,40937.5,1,2,problem_12_0075,29635.25224,0.785714286,1,problem_12_0076,21369.53068,1,2,problem_12_0075,40328.1,1,2
problem_12_0076,125,1,2,problem_12_0076,22762.13765,0.866666667,1,problem_12_0077,55000,0.846153846,1,problem_12_0076,125,1,2
problem_12_0077,60000,0,-1,problem_12_0077,60000,0,-1,problem_12_0078,22278.24616,1,2,problem_12_0077,60000,0,-1
problem_12_0078,828.125,1,2,problem_12_0078,22495.63837,0.866666667,1,problem_12_0079,60000,0,-1,problem_12_0078,781.25,1,2
problem_12_0079,60000,0,-1,problem_12_0079,26203.10998,0.923076923,1,problem_12_0080,29231.22525,1,2,problem_12_0079,60000,0,-1
problem_12_0080,8437.5,1,2,problem_12_0080,22327.83008,0.785714286,1,problem_12_0081,55000,0.857142857,1,problem_12_0080,8171.88,1,2
problem_12_0081,14.42217827,1,1,problem_12_0081,25130.00083,0.928571429,1,problem_12_0082,22302.42586,1,1,problem_12_0081,60000,0,-1
problem_12_0082,13.68260384,1,1,problem_12_0082,22440.01389,0.933333333,1,problem_12_0083,60000,0,-1,problem_12_0082,125,1,2
problem_12_0083,13.62252235,1,1,problem_12_0083,60000,0,-1,problem_12_0084,55000,0.846153846,1,problem_12_0083,60000,0,-1
problem_12_0084,60000,0,-1,problem_12_0084,23702.40808,0.846153846,1,problem_12_0085,55000,0.769230769,1,problem_12_0084,60000,0,-1
problem_12_0085,60000,0,-1,problem_12_0085,29583.29391,0.769230769,1,problem_12_0086,55000,0.714285714,1,problem_12_0085,60000,0,-1
problem_12_0086,60000,0,-1,problem_12_0086,23905.89476,0.857142857,1,problem_12_0087,55000,0.933333333,1,problem_12_0086,60000,0,-1
problem_12_0087,60000,0,-1,problem_12_0087,26078.97353,0.933333333,1,problem_12_0088,55000,0.785714286,1,problem_12_0087,60000,0,-1
problem_12_0088,14.09339905,0.5,1,problem_12_0088,27584.51343,0.857142857,1,problem_12_0089,44971.54737,1,2,problem_12_0088,60000,0,-1
problem_12_0089,20906.2,1,2,problem_12_0089,24866.26625,0.8,1,problem_12_0090,640.625,1,2,problem_12_0089,20562.5,1,2
problem_12_0090,625,1,2,problem_12_0090,640.625,1,2,problem_12_0091,671.875,1,2,problem_12_0090,593.75,1,2
