Problem-JAC,Time-JAC,Correctness-JAC,Sys-JAC,Problem-PF,Time-PF,Correctness-PF,Sys-PF,Problem-MIX,Time-MIX,Correctness-MIX,Sys-MIX,Problem-FD,Time-FD,Correctness-FD,Sys-FD
problem_12_10, 1015.62,1.0,2,problem_12_3, 24973.676204681396,0.8571428571428571,1,problem_12_28, 24464.15114402771,0.9285714285714286,1,problem_12_10, 1015.62,1.0,2
problem_12_11, 90000.0,0,-1,problem_12_30, 20849.146127700806,1.0,1,problem_12_29, 30971.775770187378,0.8461538461538461,1,problem_12_11, 90000.0,0,-1
problem_12_12, 203.125,1.0,2,problem_12_31, 22292.423486709595,0.8571428571428571,1,problem_12_3, 25826.77984237671,0.8571428571428571,1,problem_12_12, 203.125,1.0,2
problem_12_13, 16140.599999999999,1.0,2,problem_12_34, 22900.527477264404,1.0,1,problem_12_30, 22009.07826423645,1.0,1,problem_12_13, 15578.099999999999,1.0,2
problem_12_14, 9781.25,1.0,2,problem_12_35, 26596.240520477295,0.6923076923076923,1,problem_12_31, 24503.42345237732,0.7857142857142857,1,problem_12_14, 9375.0,1.0,2
problem_12_15, 125.0,1.0,2,problem_12_36, 22176.655530929565,0.9285714285714286,1,problem_12_34, 23009.00387763977,1.0,1,problem_12_15, 109.375,1.0,2
problem_12_16, 45875.0,1.0,2,problem_12_38, 23597.705125808716,0.9333333333333333,1,problem_12_36, 23448.115587234497,0.9285714285714286,1,problem_12_16, 43921.9,1.0,2
problem_12_17, 1312.5,1.0,2,problem_12_4, 25794.567823410034,0.8571428571428571,1,problem_12_38, 24545.42303085327,0.9333333333333333,1,problem_12_17, 1296.88,1.0,2
problem_12_18, 90000.0,0,-1,problem_12_40, 17396.889209747314,0.7333333333333333,1,problem_12_39, 28748.894214630127,0.8571428571428571,1,problem_12_18, 90000.0,0,-1
problem_12_19, 90000.0,0,-1,problem_12_41, 25994.797468185425,0.6428571428571429,1,problem_12_4, 27119.91047859192,0.8571428571428571,1,problem_12_19, 90000.0,0,-1
problem_12_2, 90000.0,0,-1,problem_12_42, 19926.79214477539,0.9333333333333333,1,problem_12_40, 18032.214164733887,0.7333333333333333,1,problem_12_2, 90000.0,0,-1
problem_12_20, 39093.8,1.0,2,problem_12_43, 18613.02161216736,0.8666666666666667,1,problem_12_41, 27639.00089263916,0.6428571428571429,1,problem_12_20, 38968.8,1.0,2
