Problem-JAC,Jaccard,Correctness-JAC,Sys-JAC,Problem-PF,SOFAIxPlansformers,Correctness-PF,Sys-PF,Problem-MIX,SOFAIxPlanning,Correctness-MIX,Sys-MIX,Problem-FD,Fast Downward,Correctness-FD,Sys-FD
problem_04_0494,17.815351486206055,1.0,1,problem_04_0494,12632.513999938965,1.0,1,problem_04_0495,10953.5014629364,1.0,1,problem_04_0494,0.0,1.0,2
problem_04_0495,0.0,1.0,2,problem_04_0495,11084.796905517578,1.0,1,problem_04_0496,9806.859970092772,1.0,1,problem_04_0495,0.0,1.0,2
problem_04_0496,0.0,1.0,2,problem_04_0496,10180.92656135559,1.0,1,problem_04_0497,7759.456872940063,1.0,1,problem_04_0496,0.0,1.0,2
problem_04_0497,17.043590545654297,1.0,1,problem_04_0497,8112.755537033081,1.0,1,problem_04_0498,9017.092227935793,1.0,1,problem_04_0497,0.0,1.0,2
problem_04_0498,17.338037490844727,0.7142857142857143,1,problem_04_0498,9032.277584075928,1.0,1,problem_04_0499,10088.16647529602,1.0,1,problem_04_0498,0.0,1.0,2
problem_04_0499,17.15564727783203,0.7142857142857143,1,problem_04_0499,10067.648887634276,1.0,1,problem_04_0500,11199.652194976808,1.0,1,problem_04_0499,0.0,1.0,2
problem_04_0500,17.23766326904297,0.8,1,problem_04_0500,11225.98671913147,1.0,1,problem_04_0501,11021.955728530884,1.0,1,problem_04_0500,0.0,1.0,2
problem_04_0501,17.679214477539062,0.5,1,problem_04_0501,11616.61148071289,1.0,1,problem_04_0502,10055.01413345337,1.0,1,problem_04_0501,0.0,1.0,2
problem_04_0502,16.920804977416992,0.6666666666666666,1,problem_04_0502,10943.246841430664,1.0,1,problem_04_0503,8958.601951599121,1.0,1,problem_04_0502,0.0,1.0,2
problem_04_0503,0.0,1.0,2,problem_04_0503,9450.412511825562,1.0,1,problem_04_0504,10128.199577331545,1.0,1,problem_04_0503,0.0,1.0,2
problem_04_0504,17.01068878173828,0.6666666666666666,1,problem_04_0504,10081.57992362976,1.0,1,problem_04_0505,10046.749591827393,1.0,1,problem_04_0504,0.0,1.0,2
problem_04_0505,0.0,1.0,2,problem_04_0505,10130.54895401001,1.0,1,problem_04_0506,11174.196243286133,1.0,1,problem_04_0505,0.0,1.0,2
problem_04_0506,0.0,1.0,2,problem_04_0506,11353.103637695312,1.0,1,problem_04_0507,12066.456317901611,1.0,1,problem_04_0506,0.0,1.0,2
problem_04_0507,20.575761795043945,1.0,1,problem_04_0507,12233.726024627686,1.0,1,problem_04_0508,8916.502714157104,1.0,1,problem_04_0507,0.0,1.0,2
problem_04_0508,0.0,1.0,2,problem_04_0508,8825.851917266846,1.0,1,problem_04_0509,7853.856563568115,1.0,1,problem_04_0508,0.0,1.0,2
problem_04_0509,0.0,1.0,2,problem_04_0509,7711.477041244507,1.0,1,problem_04_0510,11082.249879837036,1.0,1,problem_04_0509,0.0,1.0,2
problem_04_0510,0.0,1.0,2,problem_04_0510,11203.123092651367,1.0,1,problem_04_0511,0.0,1.0,2,problem_04_0510,15.625,1.0,2
problem_04_0511,0.0,1.0,2,problem_04_0511,10079.529762268066,1.0,1,problem_04_0512,9898.282289505005,1.0,1,problem_04_0511,0.0,1.0,2
problem_04_0512,0.0,1.0,2,problem_04_0512,10054.3315410614,1.0,1,problem_04_0513,11455.222845077516,1.0,1,problem_04_0512,0.0,1.0,2
problem_04_0513,0.0,1.0,2,problem_04_0513,11158.336400985718,1.0,1,problem_04_0514,12157.4969291687,1.0,1,problem_04_0513,0.0,1.0,2
problem_04_0514,17.109394073486328,0.8,1,problem_04_0514,11931.272268295288,1.0,1,problem_04_0515,11012.415409088137,1.0,1,problem_04_0514,0.0,1.0,2
problem_04_0515,17.590761184692383,0.6666666666666666,1,problem_04_0515,11136.096715927124,1.0,1,problem_04_0516,12131.508827209473,1.0,1,problem_04_0515,15.625,1.0,2
problem_04_0516,0.0,1.0,2,problem_04_0516,12169.185400009155,1.0,1,problem_04_0517,8908.8454246521,1.0,1,problem_04_0516,15.625,1.0,2
problem_04_0517,0.0,1.0,2,problem_04_0517,8747.065305709839,1.0,1,problem_04_0518,12190.30237197876,1.0,1,problem_04_0517,0.0,1.0,2
problem_04_0518,0.0,1.0,2,problem_04_0518,12092.873573303224,1.0,1,problem_04_0519,0.0,1.0,2,problem_04_0518,0.0,1.0,2
problem_04_0519,0.0,1.0,2,problem_04_0519,11949.623346328735,1.0,1,problem_04_0520,8924.642086029053,1.0,1,problem_04_0519,0.0,1.0,2
problem_04_0520,0.0,1.0,2,problem_04_0520,9275.84958076477,1.0,1,problem_04_0521,10945.563554763794,1.0,1,problem_04_0520,0.0,1.0,2
problem_04_0521,17.756938934326172,0.5,1,problem_04_0521,11070.582151412964,1.0,1,problem_04_0522,12020.017623901367,1.0,1,problem_04_0521,0.0,1.0,2
problem_04_0522,15.625,1.0,2,problem_04_0522,12131.690740585327,1.0,1,problem_04_0523,9981.333017349243,1.0,1,problem_04_0522,0.0,1.0,2
problem_04_0523,0.0,1.0,2,problem_04_0523,10110.698938369753,1.0,1,problem_04_0524,11018.429517745972,1.0,1,problem_04_0523,0.0,1.0,2
problem_04_0524,0.0,1.0,2,problem_04_0524,11079.16259765625,1.0,1,problem_04_0525,10936.001539230348,1.0,1,problem_04_0524,0.0,1.0,2
problem_04_0525,17.40097999572754,0.8,1,problem_04_0525,11110.622882843018,1.0,1,problem_04_0526,10001.66153907776,1.0,1,problem_04_0525,0.0,1.0,2
problem_04_0526,0.0,1.0,2,problem_04_0526,9913.761138916016,1.0,1,problem_04_0527,11093.43957901001,1.0,1,problem_04_0526,0.0,1.0,2
problem_04_0527,0.0,1.0,2,problem_04_0527,11033.021211624146,1.0,1,problem_04_0528,11092.75770187378,1.0,1,problem_04_0527,0.0,1.0,2
problem_04_0528,0.0,1.0,2,problem_04_0528,11005.746126174929,1.0,1,problem_04_0529,9856.430768966677,1.0,1,problem_04_0528,0.0,1.0,2
problem_04_0529,17.41313934326172,0.7142857142857143,1,problem_04_0529,10094.70248222351,1.0,1,problem_04_0530,12088.635683059692,1.0,1,problem_04_0529,0.0,1.0,2
problem_04_0530,19.245386123657227,1.0,1,problem_04_0530,12339.921236038208,1.0,1,problem_04_0531,12378.944635391235,1.0,1,problem_04_0530,15.625,1.0,2
problem_04_0531,0.0,1.0,2,problem_04_0531,12119.280099868774,1.0,1,problem_04_0532,10253.022909164429,1.0,1,problem_04_0531,0.0,1.0,2
problem_04_0532,17.68326759338379,0.6666666666666666,1,problem_04_0532,10037.822961807253,1.0,1,problem_04_0533,11100.138902664185,1.0,1,problem_04_0532,0.0,1.0,2
problem_04_0533,17.461299896240234,0.6,1,problem_04_0533,10900.174617767334,1.0,1,problem_04_0534,11251.7409324646,1.0,1,problem_04_0533,0.0,1.0,2
problem_04_0534,17.7614688873291,0.5,1,problem_04_0534,10805.291175842283,1.0,1,problem_04_0535,6715.411424636841,1.0,1,problem_04_0534,0.0,1.0,2
problem_04_0535,0.0,1.0,2,problem_04_0535,6669.46005821228,1.0,1,problem_04_0536,12331.857204437256,1.0,1,problem_04_0535,0.0,1.0,2
problem_04_0536,20.983457565307617,0.8,1,problem_04_0536,12078.420877456663,1.0,1,problem_04_0537,12052.80303955078,1.0,1,problem_04_0536,0.0,1.0,2
problem_04_0537,0.0,1.0,2,problem_04_0537,12023.091793060305,1.0,1,problem_04_0538,9853.991985321043,1.0,1,problem_04_0537,0.0,1.0,2
problem_04_0538,22.18341827392578,0.7142857142857143,1,problem_04_0538,9852.729320526125,1.0,1,problem_04_0539,10060.57858467102,1.0,1,problem_04_0538,0.0,1.0,2
problem_04_0539,0.0,1.0,2,problem_04_0539,9908.751726150513,1.0,1,problem_04_0540,11301.850318908691,1.0,1,problem_04_0539,0.0,1.0,2
problem_04_0540,17.5783634185791,0.6666666666666666,1,problem_04_0540,10877.177238464355,1.0,1,problem_04_0541,11183.591842651367,1.0,1,problem_04_0540,0.0,1.0,2
problem_04_0541,17.774581909179688,0.6666666666666666,1,problem_04_0541,10852.075576782228,1.0,1,problem_04_0542,11180.7119846344,1.0,1,problem_04_0541,0.0,1.0,2
problem_04_0542,18.15104484558105,0.6666666666666666,1,problem_04_0542,10998.457193374634,1.0,1,problem_04_0543,11005.953311920166,1.0,1,problem_04_0542,0.0,1.0,2
problem_04_0543,17.85874366760254,1.0,1,problem_04_0543,10876.235246658323,1.0,1,problem_04_0544,8986.862421035767,1.0,1,problem_04_0543,0.0,1.0,2
problem_04_0544,17.95363426208496,0.7142857142857143,1,problem_04_0544,8856.838464736938,1.0,1,problem_04_0545,9874.871015548706,1.0,1,problem_04_0544,0.0,1.0,2
problem_04_0545,15.625,1.0,2,problem_04_0545,10065.088272094728,1.0,1,problem_04_0546,12145.683526992798,1.0,1,problem_04_0545,0.0,1.0,2
problem_04_0546,0.0,1.0,2,problem_04_0546,12463.43231201172,1.0,1,problem_04_0547,12047.498226165771,1.0,1,problem_04_0546,15.625,1.0,2
problem_04_0547,0.0,1.0,2,problem_04_0547,13043.84446144104,1.0,1,problem_04_0548,11037.609100341797,1.0,1,problem_04_0547,0.0,1.0,2
problem_04_0548,21.74973487854004,0.6666666666666666,1,problem_04_0548,10929.699897766111,1.0,1,problem_04_0549,9125.221967697144,1.0,1,problem_04_0548,0.0,1.0,2
problem_04_0549,21.82316780090332,0.5,1,problem_04_0549,9078.829765319824,1.0,1,problem_04_0550,9952.764511108398,1.0,1,problem_04_0549,0.0,1.0,2
problem_04_0550,19.00458335876465,0.5,1,problem_04_0550,10008.060216903688,1.0,1,problem_04_0551,9877.50267982483,1.0,1,problem_04_0550,0.0,1.0,2
problem_04_0551,22.46832847595215,1.0,1,problem_04_0551,9920.53723335266,1.0,1,problem_04_0552,7768.367528915405,1.0,1,problem_04_0551,0.0,1.0,2
problem_04_0552,0.0,1.0,2,problem_04_0552,7738.296270370483,1.0,1,problem_04_0553,11479.639768600464,1.0,1,problem_04_0552,0.0,1.0,2
problem_04_0553,23.721933364868164,0.6666666666666666,1,problem_04_0553,10873.300552368164,1.0,1,problem_04_0554,10110.203504562378,1.0,1,problem_04_0553,0.0,1.0,2
problem_04_0554,0.0,1.0,2,problem_04_0554,9844.537019729614,1.0,1,problem_04_0555,11232.85746574402,1.0,2,problem_04_0554,0.0,1.0,2
problem_04_0555,23.35047721862793,0.5,1,problem_04_0555,11064.5010471344,1.0,1,problem_04_0556,9987.658977508543,1.0,2,problem_04_0555,0.0,1.0,2
problem_04_0556,19.59228515625,0.7142857142857143,1,problem_04_0556,10027.198314666748,1.0,1,problem_04_0557,10031.400442123411,1.0,1,problem_04_0556,0.0,1.0,2
problem_04_0557,19.721269607543945,0.5,1,problem_04_0557,9906.02731704712,1.0,1,problem_04_0558,10024.336338043213,1.0,1,problem_04_0557,0.0,1.0,2
problem_04_0558,0.0,1.0,2,problem_04_0558,9761.93141937256,1.0,1,problem_04_0559,10068.49217414856,1.0,1,problem_04_0558,0.0,1.0,2
problem_04_0559,0.0,1.0,2,problem_04_0559,9996.295928955078,1.0,1,problem_04_0560,8985.767126083374,1.0,1,problem_04_0559,0.0,1.0,2
problem_04_0560,20.117759704589844,0.7142857142857143,1,problem_04_0560,8832.039594650269,1.0,1,problem_04_0561,10946.999073028564,1.0,1,problem_04_0560,0.0,1.0,2
problem_04_0561,19.421815872192383,1.0,1,problem_04_0561,11073.116779327393,1.0,1,problem_04_0562,11265.946626663208,1.0,1,problem_04_0561,0.0,1.0,2
problem_04_0562,0.0,1.0,2,problem_04_0562,10952.9869556427,1.0,1,problem_04_0563,10230.73697090149,1.0,1,problem_04_0562,0.0,1.0,2
problem_04_0563,0.0,1.0,2,problem_04_0563,10093.235969543455,1.0,1,problem_04_0564,10987.043619155884,1.0,1,problem_04_0563,0.0,1.0,2
problem_04_0564,20.66612243652344,0.5,1,problem_04_0564,10876.52587890625,1.0,1,problem_04_0565,9717.119455337524,1.0,1,problem_04_0564,0.0,1.0,2
problem_04_0565,25.789737701416016,0.5,1,problem_04_0565,9839.791297912598,1.0,1,problem_04_0566,11937.045812606812,1.0,1,problem_04_0565,0.0,1.0,2
problem_04_0566,0.0,1.0,2,problem_04_0566,13844.871282577516,1.0,1,problem_04_0567,12043.1489944458,1.0,1,problem_04_0566,0.0,1.0,2
problem_04_0567,0.0,1.0,2,problem_04_0567,14041.8221950531,1.0,1,problem_04_0568,11040.49515724182,1.0,1,problem_04_0567,0.0,1.0,2
problem_04_0568,18.57161521911621,1.0,1,problem_04_0568,11016.53265953064,1.0,1,problem_04_0569,7733.17289352417,1.0,1,problem_04_0568,0.0,1.0,2
problem_04_0569,0.0,1.0,2,problem_04_0569,7708.931684494019,1.0,1,problem_04_0570,9810.784101486206,1.0,1,problem_04_0569,0.0,1.0,2
problem_04_0570,0.0,1.0,2,problem_04_0570,9817.299604415894,1.0,1,problem_04_0571,9925.093650817871,1.0,1,problem_04_0570,0.0,1.0,2
problem_05_0001,0.0,1.0,2,problem_05_0001,11605.226516723633,1.0,1,problem_05_0002,14586.289644241331,1.0,1,problem_05_0001,0.0,1.0,2
problem_05_0002,0.0,1.0,2,problem_05_0002,13751.200914382936,1.0,1,problem_05_0003,18150.29001235962,1.0,1,problem_05_0002,0.0,1.0,2
problem_05_0003,0.0,1.0,2,problem_05_0003,16827.410459518433,1.0,1,problem_05_0004,19520.97463607788,1.0,2,problem_05_0003,0.0,1.0,2
problem_05_0004,0.0,1.0,2,problem_05_0004,15818.331718444824,1.0,1,problem_05_0005,15541.00227355957,1.0,1,problem_05_0004,0.0,1.0,2
problem_05_0005,0.0,1.0,2,problem_05_0005,14705.880403518677,1.0,1,problem_05_0006,14332.72933959961,1.0,1,problem_05_0005,0.0,1.0,2
problem_05_0006,38.48671913146973,0.8333333333333334,1,problem_05_0006,14324.744701385498,1.0,1,problem_05_0007,13048.498630523682,1.0,1,problem_05_0006,15.625,1.0,2
